/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Ocean Sensors Orientation = Downward
/Ocean Sensors Average Measuring Depth = 0.5m
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
/Hsig: Significant Wave Height (m)
/TP: Wave Peak Period (s)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,TP
2016,7,31,5,25,0,2.30,14.30
2016,7,31,6,25,0,2.35,15.40
2016,7,31,7,25,0,2.25,15.40
2016,7,31,8,25,0,2.01,14.30
2016,7,31,9,25,0,2.11,15.40
2016,7,31,10,25,0,2.08,14.30
2016,7,31,11,25,0,2.20,14.30
2016,7,31,12,25,0,2.39,14.30
2016,7,31,13,25,0,2.16,14.30
2016,7,31,14,25,0,2.54,14.30
2016,7,31,15,25,0,2.26,14.30
2016,7,31,16,25,0,2.51,14.30
2016,7,31,17,25,0,1.98,14.30
2016,7,31,18,25,0,2.21,14.30
2016,7,31,19,25,0,1.86,13.30
2016,7,31,20,25,0,2.25,14.30
2016,7,31,21,25,0,2.08,14.30
2016,7,31,22,25,0,2.38,14.30
2016,7,31,23,25,0,2.02,14.30
2016,8,1,0,25,0,2.10,15.40
2016,8,1,1,25,0,2.05,14.30
2016,8,1,2,25,0,1.84,14.30
2016,8,1,3,25,0,1.84,14.30
2016,8,1,4,25,0,1.86,14.30
2016,8,1,5,25,0,1.64,14.30
2016,8,1,6,25,0,1.87,14.30
2016,8,1,7,25,0,1.81,14.30
2016,8,1,8,25,0,1.68,13.30
2016,8,1,9,25,0,1.62,14.30
2016,8,1,10,25,0,1.62,14.30
2016,8,1,11,25,0,1.87,14.30
2016,8,1,12,25,0,1.77,14.30
2016,8,1,13,25,0,1.43,13.30
2016,8,1,14,25,0,1.51,14.30
2016,8,1,15,25,0,1.61,13.30
2016,8,1,16,25,0,1.54,14.30
2016,8,1,17,25,0,1.49,13.30
2016,8,1,18,25,0,1.68,13.30
2016,8,1,19,25,0,1.41,13.30
2016,8,1,20,25,0,1.41,12.50
2016,8,1,21,25,0,1.46,13.30
2016,8,1,22,25,0,1.43,13.30
2016,8,1,23,25,0,1.39,13.30
2016,8,2,0,25,0,1.25,13.30
2016,8,2,1,25,0,1.08,12.50
2016,8,2,2,25,0,1.10,13.30
2016,8,2,3,25,0,0.79,12.50
2016,8,2,4,25,0,1.01,13.30
2016,8,2,5,25,0,1.02,13.30
2016,8,2,6,25,0,1.08,12.50
2016,8,2,7,25,0,0.84,12.50
2016,8,2,8,25,0,0.93,14.30
2016,8,2,9,25,0,0.84,13.30
2016,8,2,10,25,0,0.75,13.30
2016,8,2,11,25,0,0.81,13.30
2016,8,2,12,25,0,0.75,13.30
2016,8,2,13,25,0,0.86,12.50
2016,8,2,14,25,0,0.77,13.30
2016,8,2,15,25,0,0.76,13.30
2016,8,2,16,25,0,0.77,13.30
2016,8,2,17,25,0,0.85,13.30
2016,8,2,18,25,0,0.82,11.80
2016,8,2,19,25,0,0.78,13.30
2016,8,2,20,25,0,0.79,12.50
2016,8,2,21,25,0,0.79,12.50
2016,8,2,22,25,0,0.75,12.50
2016,8,2,23,25,0,0.72,13.30
2016,8,3,0,25,0,0.85,11.80
2016,8,3,1,25,0,0.96,13.30
2016,8,3,2,25,0,0.94,12.50
2016,8,3,3,25,0,0.98,13.30
2016,8,3,4,25,0,0.94,13.30
2016,8,3,5,25,0,0.94,5.60
2016,8,3,6,25,0,1.06,13.30
2016,8,3,7,25,0,1.20,10.00
2016,8,3,8,25,0,1.37,10.50
2016,8,3,9,25,0,1.31,10.00
2016,8,3,10,25,0,1.26,9.50
2016,8,3,11,25,0,1.34,10.50
2016,8,3,12,25,0,1.16,10.00
2016,8,3,13,25,0,1.08,9.50
2016,8,3,14,25,0,1.25,9.50
2016,8,3,15,25,0,1.06,9.10
2016,8,3,16,25,0,1.02,10.00
2016,8,3,17,25,0,1.12,9.10
2016,8,3,18,25,0,1.01,9.10
2016,8,3,19,25,0,1.12,9.10
2016,8,3,20,25,0,1.12,8.70
2016,8,3,21,25,0,1.13,8.70
2016,8,3,22,25,0,1.12,8.70
2016,8,3,23,25,0,1.09,8.30
2016,8,4,0,25,0,1.02,8.70
2016,8,4,1,25,0,1.01,8.70
2016,8,4,2,25,0,0.97,8.70
2016,8,4,3,25,0,1.05,8.70
2016,8,4,4,25,0,0.98,8.00
2016,8,4,5,25,0,0.92,7.70
2016,8,4,6,25,0,0.97,10.00
2016,8,4,9,25,0,1.13,9.10
2016,8,4,10,25,0,1.21,9.50
2016,8,4,11,25,0,0.99,9.50
2016,8,4,12,25,0,0.88,10.00
2016,8,4,13,25,0,0.91,9.50
2016,8,4,14,25,0,0.91,10.00
2016,8,4,15,25,0,0.88,8.70
2016,8,4,16,25,0,0.97,9.10
2016,8,4,17,25,0,1.11,9.50
2016,8,4,18,25,0,1.08,9.10
2016,8,4,19,25,0,1.27,9.10
2016,8,4,20,25,0,1.26,5.40
2016,8,4,21,25,0,1.35,9.50
2016,8,4,22,25,0,1.28,9.10
2016,8,4,23,25,0,1.13,9.10
2016,8,5,0,25,0,1.03,9.10
2016,8,5,1,25,0,1.03,9.50
2016,8,5,2,25,0,1.01,9.50
2016,8,5,3,25,0,1.02,9.50
2016,8,5,4,25,0,1.15,9.10
2016,8,5,5,25,0,1.02,8.70
2016,8,5,6,25,0,1.00,9.50
2016,8,5,7,25,0,1.00,5.00
2016,8,5,8,25,0,0.99,10.00
2016,8,5,9,25,0,1.00,5.40
2016,8,5,10,25,0,0.94,5.30
2016,8,5,11,25,0,0.92,10.00
2016,8,5,12,25,0,0.87,13.30
2016,8,5,13,25,0,0.90,10.00
2016,8,5,14,25,0,0.91,9.10
2016,8,5,15,25,0,0.92,9.50
2016,8,5,16,25,0,1.00,9.10
2016,8,5,17,25,0,1.02,8.70
2016,8,5,18,25,0,1.03,13.30
2016,8,5,19,25,0,1.16,16.70
2016,8,5,20,25,0,1.14,5.30
2016,8,5,21,25,0,1.25,5.30
2016,8,5,22,25,0,1.24,13.30
2016,8,5,23,25,0,1.13,14.30
2016,8,6,0,25,0,1.21,14.30
2016,8,6,1,25,0,1.24,13.30
2016,8,6,2,25,0,1.18,12.50
2016,8,6,3,25,0,1.24,14.30
2016,8,6,4,25,0,1.22,11.80
2016,8,6,5,25,0,1.28,13.30
2016,8,6,6,25,0,1.38,14.30
2016,8,6,7,25,0,1.41,15.40
2016,8,6,8,25,0,1.32,15.40
2016,8,6,9,25,0,1.44,13.30
2016,8,6,10,25,0,1.26,14.30
2016,8,6,11,25,0,1.30,13.30
2016,8,6,12,25,0,1.21,13.30
2016,8,6,13,25,0,1.35,15.40
2016,8,6,14,25,0,1.14,13.30
2016,8,6,15,25,0,1.18,15.40
2016,8,6,16,25,0,1.29,13.30
